setting,PDR
22.28.27,2
22.29.18,1
22.29.26,2
22.30.7,1
22.30.8,11
22.30.9,26
22.31.0,1
22.31.6,3
22.31.7,3
23.31.7,1
22.31.8,26
23.9.29,2
23.106.28,2
23.11.12,1
23.107.21,1
29.11.21,1
23.11.27,1
23.12.8,1
23.12.9,1
23.12.10,1
29.13.2,1
23.13.3,1
