group,setting,PDR
1,22.30.9,24
2,22.30.9,27
3,22.30.9,27
4,22.30.9,23
5,22.30.9,25
6,22.30.9,24
7,22.30.9,24
8,22.30.9,23
9,22.30.9,24
10,22.30.9,24
11,22.30.9,22
12,22.30.9,33
13,22.30.9,26
14,22.30.9,24
15,22.30.9,19
16,22.30.9,22
17,22.30.9,23
18,22.30.9,29
19,22.30.9,24
20,22.30.9,30
21,22.30.9,27
22,22.30.9,26
23,22.30.9,21
24,22.30.9,23
25,22.30.9,32
26,22.30.9,29
27,22.30.9,30
28,22.30.9,15
29,22.30.9,22
30,22.30.9,20
31,22.30.9,25
32,22.30.9,22
33,22.30.9,22
34,22.30.9,24
35,22.30.9,25
36,22.30.9,34
37,22.30.9,21
38,22.30.9,29
39,22.30.9,27
40,22.30.9,21
41,22.30.9,26
42,22.30.9,28
43,22.30.9,31
44,22.30.9,25
45,22.30.9,28
46,22.30.9,18
47,22.30.9,30
48,22.30.9,21
49,22.30.9,25
50,22.30.9,21
51,22.30.9,22
52,22.30.9,28
53,22.30.9,28
54,22.30.9,25
55,22.30.9,22
56,22.30.9,29
57,22.30.9,28
58,22.30.9,21
59,22.30.9,35
60,22.30.9,19
61,22.30.9,27
62,22.30.9,17
63,22.30.9,24
64,22.30.9,26
65,22.30.9,22
66,22.30.9,24
67,22.30.9,25
68,22.30.9,21
69,22.30.9,31
70,22.30.9,25
71,22.30.9,25
72,22.30.9,22
73,22.30.9,17
74,22.30.9,1
75,22.30.9,28
76,22.30.9,25
77,22.30.9,23
78,22.30.9,23
79,22.30.9,27
80,22.30.9,21
81,22.30.9,25
82,22.30.9,24
83,22.30.9,28
84,22.30.9,22
85,22.30.9,19
86,22.30.9,21
87,22.30.9,22
88,22.30.9,31
89,22.30.9,23
90,22.30.9,27
91,22.30.9,35
92,22.30.9,26
93,22.30.9,26
94,22.30.9,27
95,22.30.9,28
96,22.30.9,28
97,22.30.9,23
98,22.30.9,22
99,22.30.9,22
100,22.30.9,25
101,22.30.9,24
102,22.30.9,27
103,22.30.9,26
104,22.30.9,24
105,22.30.9,31
106,22.30.9,20
107,22.30.9,24
108,22.30.9,27
109,22.30.9,24
110,22.30.9,23
111,22.30.9,23
112,22.30.9,16
113,22.30.9,26
114,22.30.9,20
115,22.30.9,23
116,22.30.9,17
117,22.30.9,19
118,22.30.9,23
119,22.30.9,30
120,22.30.9,19
121,22.30.9,19
122,22.30.9,21
123,22.30.9,26
124,22.30.9,1
125,22.30.9,24
126,22.30.9,22
127,22.30.9,31
128,22.30.9,26
129,22.30.9,24
130,22.30.9,22
131,22.30.9,32
132,22.30.9,17
133,22.30.9,15
134,22.30.9,20
135,22.30.9,27
136,22.30.9,27
137,22.30.9,23
138,22.30.9,24
139,22.30.9,25
140,22.30.9,22
141,22.30.9,31
142,22.30.9,25
143,22.30.9,21
144,22.30.9,19
145,22.30.9,31
146,22.30.9,19
147,22.30.9,34
148,22.30.9,21
149,22.30.9,18
150,22.30.9,21
151,22.30.9,30
152,22.30.9,22
153,22.30.9,23
154,22.30.9,21
155,22.30.9,21
156,22.30.9,28
157,22.30.9,26
158,22.30.9,20
159,22.30.9,22
160,22.30.9,12
161,22.30.9,27
162,22.30.9,27
163,22.30.9,23
164,22.30.9,19
165,22.30.9,26
166,22.30.9,29
167,22.30.9,20
168,22.30.9,27
169,22.30.9,23
170,22.30.9,23
171,22.30.9,22
172,22.30.9,27
173,22.30.9,27
174,22.30.9,29
175,22.30.9,31
176,22.30.9,19
177,22.30.9,23
178,22.30.9,25
,std,4.532709404
