group,setting,PDR
1,22.30.9,28
2,22.30.9,28
3,22.30.9,20
4,22.30.9,31
5,22.30.9,20
6,22.30.9,28
7,22.30.9,24
8,22.30.9,26
9,22.30.9,1
10,22.30.9,24
11,22.30.9,31
12,22.30.9,18
13,22.30.9,19
14,22.30.9,22
15,22.30.9,25
16,22.30.9,25
17,22.30.9,29
18,22.30.9,34
19,22.30.9,20
20,22.30.9,25
21,22.30.9,27
22,22.30.9,22
23,22.30.9,22
24,22.30.9,26
25,22.30.9,27
26,22.30.9,30
27,22.30.9,24
28,22.30.9,25
29,22.30.9,24
30,22.30.9,28
31,22.30.9,18
32,22.30.9,1
33,22.30.9,23
34,22.30.9,30
35,22.30.9,30
36,22.30.9,22
37,22.30.9,21
38,22.30.9,22
39,22.30.9,31
40,22.30.9,29
41,22.30.9,30
42,22.30.9,20
43,22.30.9,24
44,22.30.9,25
45,22.30.9,29
46,22.30.9,27
47,22.30.9,21
48,22.30.9,27
49,22.30.9,37
50,22.30.9,27
51,22.30.9,24
52,22.30.9,21
53,22.30.9,18
54,22.30.9,15
55,22.30.9,36
56,22.30.9,29
57,22.30.9,27
58,22.30.9,24
59,22.30.9,29
60,22.30.9,21
61,22.30.9,25
62,22.30.9,19
63,22.30.9,31
64,22.30.9,24
65,22.30.9,24
66,22.30.9,23
67,22.30.9,27
68,22.30.9,28
69,22.30.9,29
70,22.30.9,29
71,22.30.9,24
72,22.30.9,26
73,22.30.9,26
74,22.30.9,25
75,22.30.9,22
76,22.30.9,17
77,22.30.9,24
78,22.30.9,23
79,22.30.9,32
80,22.30.9,26
81,22.30.9,25
82,22.30.9,22
83,22.30.9,18
84,22.30.9,28
85,22.30.9,18
86,22.30.9,28
87,22.30.9,27
88,22.30.9,21
89,22.30.9,1
90,22.30.9,17
91,22.30.9,21
92,22.30.9,24
93,22.30.9,27
94,22.30.9,24
95,22.30.9,19
96,22.30.9,30
97,22.30.9,21
98,22.30.9,18
99,22.30.9,27
100,22.30.9,25
101,22.30.9,21
102,22.30.9,19
103,22.30.9,20
104,22.30.9,21
105,22.30.9,29
106,22.30.9,32
107,22.30.9,22
108,22.30.9,28
109,22.30.9,26
110,22.30.9,32
111,22.30.9,32
112,22.30.9,26
113,22.30.9,27
114,22.30.9,30
115,22.30.9,30
116,22.30.9,27
117,22.30.9,32
118,22.30.9,26
119,22.30.9,26
120,22.30.9,1
121,22.30.9,19
122,22.30.9,28
123,22.30.9,31
124,22.30.9,23
125,22.30.9,24
126,22.30.9,25
127,22.30.9,24
128,22.30.9,21
129,22.30.9,22
130,22.30.9,34
131,22.30.9,24
132,22.30.9,23
133,22.30.9,30
134,22.30.9,25
135,22.30.9,24
136,22.30.9,25
137,22.30.9,28
138,22.30.9,27
139,22.30.9,20
140,22.30.9,22
141,22.30.9,24
142,22.30.9,28
143,22.30.9,19
144,22.30.9,28
145,22.30.9,29
146,22.30.9,30
147,22.30.9,29
148,22.30.9,28
149,22.30.9,27
150,22.30.9,25
151,22.30.9,1
152,22.30.9,25
153,22.30.9,28
154,22.30.9,29
155,22.30.9,1
156,22.30.9,29
157,22.30.9,31
158,22.30.9,26
159,22.30.9,22
160,22.30.9,25
161,22.30.9,24
162,22.30.9,22
163,22.30.9,22
164,22.30.9,26
165,22.30.9,31
166,22.30.9,28
167,22.30.9,24
168,22.30.9,17
169,22.30.9,27
170,22.30.9,22
171,22.30.9,27
172,22.30.9,23
173,22.30.9,30
174,22.30.9,28
175,22.30.9,29
176,22.30.9,23
177,22.30.9,17
178,22.30.9,24
179,22.30.9,30
180,22.30.9,25
181,22.30.9,33
182,22.30.9,34
183,22.30.9,26
184,22.30.9,29
185,22.30.9,31
186,22.30.9,26
187,22.30.9,26
188,22.30.9,22
189,22.30.9,19
190,22.30.9,27
191,22.30.9,28
192,22.30.9,15
193,22.30.9,33
194,22.30.9,29
195,22.30.9,28
196,22.30.9,19
197,22.30.9,19
198,22.30.9,22
199,22.30.9,24
200,22.30.9,23
201,22.30.9,36
202,22.30.9,22
203,22.30.9,21
204,22.30.9,20
205,22.30.9,25
206,22.30.9,23
207,22.30.9,19
208,22.30.9,27
209,22.30.9,25
210,22.30.9,22
211,22.30.9,27
212,22.30.9,26
213,22.30.9,33
214,22.30.9,31
215,22.30.9,26
216,22.30.9,21
217,22.30.9,22
218,22.30.9,21
219,22.30.9,32
220,22.30.9,37
221,22.30.9,1
222,22.30.9,26
223,22.30.9,25
224,22.30.9,33
225,22.30.9,25
226,22.30.9,22
227,22.30.9,20
228,22.30.9,27
229,22.30.9,19
230,22.30.9,25
231,22.30.9,22
232,22.30.9,28
233,22.30.9,27
234,22.30.9,21
235,22.30.9,21
236,22.30.9,29
237,22.30.9,22
238,22.30.9,29
239,22.30.9,26
240,22.30.9,29
241,22.30.9,29
242,22.30.9,23
243,22.30.9,29
244,22.30.9,28
245,22.30.9,30
246,22.30.9,25
247,22.30.9,1
248,22.30.9,22
249,22.30.9,29
250,22.30.9,21
251,22.30.9,27
252,22.30.9,28
253,22.30.9,23
254,22.30.9,26
255,22.30.9,31
256,22.30.9,17
257,22.30.9,22
258,22.30.9,25
259,22.30.9,26
260,22.30.9,25
261,22.30.9,30
262,22.30.9,26
263,22.30.9,22
264,22.30.9,23
265,22.30.9,26
266,22.30.9,24
267,22.30.9,29
268,22.30.9,16
269,22.30.9,24
270,22.30.9,27
271,22.30.9,23
272,22.30.9,25
273,22.30.9,24
274,22.30.9,24
275,22.30.9,27
276,22.30.9,26
277,22.30.9,20
278,22.30.9,22
279,22.30.9,22
280,22.30.9,23
281,22.30.9,21
282,22.30.9,26
283,22.30.9,22
284,22.30.9,22
285,22.30.9,24
286,22.30.9,27
287,22.30.9,20
288,22.30.9,24
289,22.30.9,27
290,22.30.9,1
291,22.30.9,27
292,22.30.9,21
293,22.30.9,12
294,22.30.9,22
295,22.30.9,27
296,22.30.9,26
297,22.30.9,18
298,22.30.9,23
299,22.30.9,26
300,22.30.9,37
301,22.30.9,29
302,22.30.9,28
303,22.30.9,17
304,22.30.9,28
305,22.30.9,23
306,22.30.9,19
307,22.30.9,29
,std,5.921575002
