group,setting,PDR
0,22.30.9,33
1,22.30.9,30
2,22.30.9,34
3,22.30.9,45
4,22.30.9,32
5,22.30.9,30
6,22.30.9,30
7,22.30.9,38
8,22.30.9,24
9,22.30.9,38
10,22.30.9,34
11,22.30.9,40
12,22.30.9,37
13,22.30.9,33
14,22.30.9,39
15,22.30.9,34
16,22.30.9,24
17,22.30.9,33
18,22.30.9,24
19,22.30.9,31
20,22.30.9,41
21,22.30.9,38
22,22.30.9,24
23,22.30.9,38
24,22.30.9,35
25,22.30.9,31
26,22.30.9,31
27,22.30.9,38
28,22.30.9,38
29,22.30.9,33
30,22.30.9,26
31,22.30.9,24
32,22.30.9,32
33,22.30.9,32
34,22.30.9,43
35,22.30.9,34
36,22.30.9,39
37,22.30.9,31
38,22.30.9,37
39,22.30.9,45
40,22.30.9,35
41,22.30.9,39
42,22.30.9,35
43,22.30.9,42
44,22.30.9,45
45,22.30.9,43
46,22.30.9,29
47,22.30.9,32
48,22.30.9,47
49,22.30.9,34
50,22.30.9,30
51,22.30.9,35
52,22.30.9,23
53,22.30.9,29
54,22.30.9,42
55,22.30.9,33
56,22.30.9,34
57,22.30.9,47
58,22.30.9,30
59,22.30.9,41
60,22.30.9,35
61,22.30.9,42
62,22.30.9,42
63,22.30.9,38
64,22.30.9,29
65,22.30.9,20
66,22.30.9,23
67,22.30.9,34
68,22.30.9,31
