group,setting,PDR
1,22.30.9,28
2,22.30.9,25
3,22.30.9,25
4,22.30.9,18
5,22.30.9,21
6,22.30.9,28
7,22.30.9,21
8,22.30.9,24
9,22.30.9,30
10,22.30.9,32
11,22.30.9,26
12,22.30.9,28
13,22.30.9,20
14,22.30.9,25
15,22.30.9,29
16,22.30.9,24
17,22.30.9,26
18,22.30.9,13
19,22.30.9,10
20,22.30.9,27
21,22.30.9,22
22,22.30.9,26
23,22.30.9,22
24,22.30.9,24
25,22.30.9,18
26,22.30.9,21
27,22.30.9,26
28,22.30.9,24
29,22.30.9,25
30,22.30.9,28
31,22.30.9,24
32,22.30.9,26
33,22.30.9,31
34,22.30.9,27
35,22.30.9,27
36,22.30.9,29
37,22.30.9,30
38,22.30.9,27
39,22.30.9,23
40,22.30.9,31
41,22.30.9,21
42,22.30.9,26
43,22.30.9,24
44,22.30.9,21
45,22.30.9,23
46,22.30.9,23
47,22.30.9,26
48,22.30.9,23
49,22.30.9,26
50,22.30.9,20
51,22.30.9,27
52,22.30.9,26
53,22.30.9,30
54,22.30.9,28
55,22.30.9,27
56,22.30.9,15
57,22.30.9,14
58,22.30.9,26
59,22.30.9,26
60,22.30.9,28
61,22.30.9,28
62,22.30.9,19
63,22.30.9,20
64,22.30.9,28
65,22.30.9,22
66,22.30.9,28
67,22.30.9,20
68,22.30.9,28
69,22.30.9,22
70,22.30.9,21
71,22.30.9,25
72,22.30.9,28
73,22.30.9,22
74,22.30.9,20
75,22.30.9,31
76,22.30.9,25
77,22.30.9,24
78,22.30.9,26
79,22.30.9,22
80,22.30.9,26
81,22.30.9,26
82,22.30.9,17
83,22.30.9,27
84,22.30.9,25
85,22.30.9,22
86,22.30.9,22
87,22.30.9,25
88,22.30.9,29
89,22.30.9,30
90,22.30.9,24
91,22.30.9,23
92,22.30.9,26
93,22.30.9,26
94,22.30.9,29
95,22.30.9,19
96,22.30.9,13
97,22.30.9,27
98,22.30.9,25
99,22.30.9,22
100,22.30.9,29
101,22.30.9,22
102,22.30.9,20
103,22.30.9,20
104,22.30.9,23
105,22.30.9,26
106,22.30.9,24
107,22.30.9,25
108,22.30.9,33
109,22.30.9,27
110,22.30.9,26
111,22.30.9,27
112,22.30.9,18
113,22.30.9,26
114,22.30.9,22
115,22.30.9,25
116,22.30.9,25
117,22.30.9,26
118,22.30.9,18
119,22.30.9,20
120,22.30.9,24
121,22.30.9,28
122,22.30.9,31
123,22.30.9,28
124,22.30.9,24
125,22.30.9,22
126,22.30.9,29
127,22.30.9,20
128,22.30.9,22
129,22.30.9,27
130,22.30.9,28
131,22.30.9,26
132,22.30.9,29
133,22.30.9,22
134,22.30.9,28
135,22.30.9,26
136,22.30.9,31
137,22.30.9,30
138,22.30.9,17
139,22.30.9,35
140,22.30.9,23
141,22.30.9,24
142,22.30.9,26
143,22.30.9,20
144,22.30.9,21
145,22.30.9,31
146,22.30.9,24
147,22.30.9,19
148,22.30.9,24
149,22.30.9,25
150,22.30.9,24
151,22.30.9,25
152,22.30.9,27
153,22.30.9,19
154,22.30.9,29
155,22.30.9,29
156,22.30.9,28
157,22.30.9,26
158,22.30.9,25
159,22.30.9,28
160,22.30.9,21
161,22.30.9,25
162,22.30.9,26
163,22.30.9,27
164,22.30.9,27
165,22.30.9,28
166,22.30.9,35
167,22.30.9,25
168,22.30.9,26
169,22.30.9,18
170,22.30.9,22
171,22.30.9,25
172,22.30.9,20
173,22.30.9,31
174,22.30.9,19
175,22.30.9,22
176,22.30.9,26
177,22.30.9,35
178,22.30.9,31
179,22.30.9,23
180,22.30.9,22
181,22.30.9,25
182,22.30.9,22
183,22.30.9,23
184,22.30.9,35
185,22.30.9,15
186,22.30.9,23
187,22.30.9,23
188,22.30.9,25
189,22.30.9,27
190,22.30.9,30
191,22.30.9,24
192,22.30.9,22
193,22.30.9,24
194,22.30.9,29
195,22.30.9,20
196,22.30.9,9
197,22.30.9,21
198,22.30.9,26
199,22.30.9,23
200,22.30.9,31
201,22.30.9,20
202,22.30.9,30
203,22.30.9,26
204,22.30.9,19
205,22.30.9,28
206,22.30.9,28
207,22.30.9,21
208,22.30.9,21
209,22.30.9,29
210,22.30.9,20
211,22.30.9,33
212,22.30.9,25
213,22.30.9,23
214,22.30.9,24
215,22.30.9,35
216,22.30.9,30
217,22.30.9,22
218,22.30.9,22
219,22.30.9,25
220,22.30.9,15
221,22.30.9,19
222,22.30.9,24
223,22.30.9,23
224,22.30.9,32
225,22.30.9,19
226,22.30.9,26
227,22.30.9,25
228,22.30.9,24
229,22.30.9,33
230,22.30.9,27
231,22.30.9,22
232,22.30.9,24
233,22.30.9,29
234,22.30.9,14
235,22.30.9,32
,std,4.202404314
